Unnamed: 0,lt,sts,obj,cnt,nms,razm,obn,okn,classification
0,329200062224004648,Подача заявок,Поставка специальной одежды (Лот 3),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","232 070,19 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
1,129200005324001609,Подача заявок,Выполнение работ по содержанию второго пускового комплекса мостового перехода через реку Волга в г.Волгограде в 2024-2026 г.г.,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"285 460 137,33 ₽",30.05.2024,05.06.2024,13.06.2024,Работа
2,129200005324001591,Подача заявок,Поставка изделий медицинского назначения - Каталка больничная,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"2 308 467,23 ₽",29.05.2024,05.06.2024,14.06.2024,Товар
3,129200005324001604,Подача заявок,Поставка лекарственного препарата для медицинского применения (МНН- МНН- Даклатасвир),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"14 849 982,00 ₽",29.05.2024,05.06.2024,13.06.2024,Товар
4,129200005324001619,Подача заявок,"Поставка медицинских изделий - Концентратор кислорода портативный, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия (монолот 1)",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 100 000,00 ₽",30.05.2024,05.06.2024,13.06.2024,Товар
5,129200005324001700,Подача заявок,"Поставка медицинских изделий (очиститель воздуха фильтрующий высокоэффективный, стационарный),
ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия",КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"1 740 300,00 ₽",05.06.2024,05.06.2024,20.06.2024,Товар
6,129200005324001699,Подача заявок,Поставка лекарственного препарата для медицинского применения Ромиплостим (С),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"36 279 840,00 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
7,329200062224004647,Подача заявок,Поставка фильтров для очистки воздуха,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","767 465,50 ₽",05.06.2024,05.06.2024,17.06.2024,Товар
8,129200005324001698,Подача заявок,Поставка лекарственного препарата для медицинского применения Ситаглиптин (С),КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,"7 482 352,64 ₽",05.06.2024,05.06.2024,14.06.2024,Товар
9,329200062224004373,Подача заявок,Поставка Кресла-коляски механической,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ВОЛГОГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","56 870,01 ₽",29.05.2024,05.06.2024,07.06.2024,Товар
